ESI_Exp_S01,24
ESI_Exp_S02,24
ESI_Exp_S03,16
ESI_Exp_S04,16
ESI_Exp_S05,24
ESI_Exp_S06,20
ESI_Exp_S07,24
ESI_Exp_S08,24
ESI_Exp_S09,24
ESI_Exp_S10,16
ESI_Exp_S11,24
ESI_Exp_S12,24
ESI_Exp_S13,24
ESI_Exp_S14,24
ESI_Exp_S15,24
ESI_Exp_S16,24
ESI_Naive_S01,8
ESI_Naive_S02,8
ESI_Naive_S03,8
ESI_Naive_S04,8
ESI_Naive_S05,8
ESI_Naive_S06,8
ESI_Naive_S07,8
ESI_Naive_S08,8
ESI_Naive_S09,8
ESI_Naive_S10,8
ESI_Naive_S11,8
ESI_Naive_S12,8
ESI_Naive_S13,8
Train_CP_S01,4
Train_CP_S02,4
Train_CP_S03,4
Train_CP_S04,3
Train_CP_S05,4
Train_CP_S06,4
Train_CP_S07,4
Train_CP_S08,4
Train_CP_S09,4
Train_CP_S10,4
Train_CP_S11,4
Train_sCP_S01,4
Train_sCP_S02,4
Train_sCP_S03,2
Train_sCP_S04,4
Train_sCP_S05,4
Train_sCP_S06,4
Train_sCP_S07,4
Train_sCP_S08,4
Train_sCP_S09,4
Train_sCP_S10,2
Train_sCP_S11,2
